#name	chrom	strand	exonStarts	exonEnds	score
NM_001014685.3	chr4	+	69325,72320,72403,72816,75067,82637,85711,85852,87016,94422,97821,99405,107402,	69981,72335,72594,72862,75165,82746,85799,85933,87166,94615,97975,99475,109770,	0
NM_001258476.2	chr4	+	69325,72320,72403,72816,75067,82637,85711,85852,87016,94422,97821,99405,104082,107402,	69981,72335,72594,72862,75165,82746,85799,85933,87166,94615,97975,99475,104528,110059,	0
NM_166718.3	chr4	+	69652,72320,72816,75067,82637,85711,85852,87016,94422,94836,99405,107402,	69849,72594,72862,75165,82746,85799,85933,87166,94615,95002,99475,110059,	0
NM_001258477.2	chr4	+	69652,72320,72816,75067,82637,85711,85852,87016,94422,94836,99405,107402,	69981,72594,72862,75165,82746,85799,85933,87166,94615,95002,99475,114270,	0
NM_166720.3	chr4	+	70404,72320,72816,75067,82637,85711,85852,87016,94422,94836,99405,107402,	70567,72594,72862,75165,82746,85799,85933,87166,94615,95002,99475,110059,	0
NM_166724.4	chr4	+	90354,94422,94836,99405,107402,	93273,94615,95002,99475,110059,	0
NM_001169348.2	chr4	-	115073,115257,116685,118554,118837,119887,120857,121852,122308,123784,129321,129797,	115202,116004,118501,118779,118931,120212,121799,121956,123422,123892,129442,129849,	0
NM_175926.3	chr4	-	116388,116685,118554,118837,119887,120857,121852,122308,123784,129321,	116630,118501,118779,118931,120212,121799,121956,123422,123892,129452,	0
NM_175928.3	chr4	-	116388,116685,118554,118837,119887,120857,121852,122308,123784,129321,129554,	116630,118501,118779,118931,120212,121799,121956,123422,123892,129442,129754,	0
NM_175927.3	chr4	-	116388,116685,118554,118837,119887,120857,121852,122308,123784,129321,129669,	116630,118501,118779,118931,120212,121799,121956,123422,123892,129442,129754,	0
NM_166729.2	chr4	+	132219,133185,133587,134670,136878,137222,137390,137806,138373,139821,	132287,133231,133713,134964,137167,137332,137752,138310,138574,140083,	0
NM_166733.2	chr4	+	132219,133185,133587,133794,134824,136878,137222,137390,137806,138373,139821,	132287,133231,133713,133924,134964,137167,137332,137752,138310,138574,140083,	0
NM_166728.2	chr4	+	132219,133185,133587,136878,137222,137390,137806,138373,139821,	132287,133231,134964,137167,137332,137752,138310,138574,140083,	0
NM_205865.2	chr4	+	132219,133185,133587,134670,136878,137222,137390,137806,138373,140269,142199,	132287,133231,133713,134964,137167,137332,137752,138310,138574,142127,143123,	0
NM_001103379.2	chr4	+	132219,133185,133587,136878,137222,137390,137806,138373,140269,142199,	132287,133235,134964,137167,137332,137752,138310,138574,142127,143123,	0
NR_073614.1	chr4	-	132673,	132874,	0
NM_001272114.1	chr4	+	134765,136878,137222,137390,137806,138373,140269,142199,	134964,137167,137332,137752,138310,138574,142127,143123,	0
NM_166731.2	chr4	+	136271,136878,137222,137390,137806,138373,139821,	136777,137167,137332,137752,138310,138574,140083,	0
NM_166732.3	chr4	+	136271,136690,136878,137222,137390,137806,138373,140269,142199,	136371,136777,137167,137332,137752,138310,138574,142127,143123,	0
NM_166730.3	chr4	+	136271,136878,137222,137390,137806,138373,140269,142199,	136777,137167,137332,137752,138310,138574,142127,143123,	0
NM_166734.2	chr4	+	150763,151741,152194,152438,152983,	150836,152130,152378,152921,153538,	0
NM_001297780.1	chr4	-	154653,155026,155764,	154965,155147,156060,	0
NM_166735.3	chr4	-	154716,155026,155764,	154965,155147,156060,	0
NM_001272116.1	chr4	-	157574,158643,159221,159766,160331,160524,160821,164461,164714,174110,174784,175109,	158577,158662,159712,160275,160461,160763,164395,164656,165064,174164,174968,175140,	0
NM_001272117.1	chr4	-	157574,158499,158643,159221,159766,160331,160524,160821,164461,164714,174110,174784,175109,	158442,158577,158662,159712,160275,160461,160763,164395,164656,165064,174164,174968,175140,	0
NM_001272115.1	chr4	-	157574,158643,159221,159766,160331,160524,160821,164461,164714,174110,174784,175515,	158577,158704,159712,160275,160461,160763,164395,164656,165064,174164,174968,175639,	0
NM_001038712.3	chr4	-	166544,174110,174784,175109,	173736,174164,174968,175140,	0
NM_001258478.1	chr4	-	166544,174110,174784,175521,	173736,174164,174968,175639,	0
NR_123743.1	chr4	+	175454,175698,	175639,175874,	0
NM_001258479.3	chr4	-	177347,178777,178936,179091,179260,	177992,178880,179034,179211,179389,	0
NM_143648.3	chr4	-	177437,178777,178936,179091,179263,	177992,178880,179034,179211,179389,	0
NM_001272118.1	chr4	-	177437,178777,178936,179091,179263,	177992,178836,179034,179211,179389,	0
NR_167882.1	chr4	-	180528,181568,	181516,182098,	0
NR_167883.1	chr4	-	181225,181568,	181509,181839,	0
NM_166736.4	chr4	-	184075,184669,185826,185977,187996,188229,188424,188577,189997,193544,	184614,184795,185916,186840,188169,188369,188523,189248,190061,193829,	0
NM_001258480.1	chr4	-	184224,184669,185826,185977,187996,188229,188424,188577,189525,	184614,184795,185916,186840,188169,188369,188523,189248,189587,	0
NM_166740.2	chr4	-	184224,184669,185826,185977,187996,188229,188424,188577,189997,191308,193343,	184614,184795,185916,186840,188169,188369,188523,189248,190061,191386,193489,	0
NM_143649.3	chr4	-	184224,184669,185826,185977,187996,188229,188424,188577,189997,193343,	184614,184795,185916,186840,188169,188369,188523,189248,190061,193489,	0
NM_166737.3	chr4	-	184224,184669,185826,185977,187996,188229,188424,188577,189997,193672,	184614,184795,185916,186840,188169,188369,188523,189248,190061,193829,	0
NM_166738.3	chr4	-	184224,184669,185826,185977,187996,188229,188424,188577,193672,	184614,184795,185916,186840,188169,188369,188523,189248,193829,	0
NR_123744.2	chr4	+	194731,	195900,	0
NM_001258481.2	chr4	-	196674,201440,203979,204639,205658,	201383,201658,204592,204792,205945,	0
NM_166742.3	chr4	-	197691,201440,203979,204639,205740,	201383,201658,204574,204792,205945,	0
NM_001297782.1	chr4	+	210223,210437,210557,211853,212627,212790,	210362,210486,210680,211982,212729,213165,	0
NM_166743.3	chr4	+	210223,210437,210557,211589,211853,212627,212790,	210362,210486,210680,211794,211982,212729,213165,	0
NM_001258482.2	chr4	+	210223,210581,211589,211853,212627,212790,	210486,210680,211794,211982,212729,213165,	0
NM_166744.3	chr4	+	210223,210557,211638,211853,212627,212790,	210486,210675,211794,211982,212729,213165,	0
NM_001297781.1	chr4	+	210223,210557,212627,212790,	210486,210680,212729,213165,	0
NM_143651.6	chr4	+	210223,210557,211589,211853,212627,212790,	210486,210680,211794,211982,212729,213165,	0
NM_001258483.2	chr4	+	210223,210557,211589,211853,212114,212627,212790,	210486,210680,211794,211982,212274,212729,213165,	0
NM_166745.3	chr4	-	215008,215329,217405,218247,218445,219890,220143,222540,222653,222790,223556,223944,225761,	215267,215560,217494,218380,218890,220028,220437,222598,222736,223012,223886,224439,225956,	0
NM_001297783.1	chr4	-	215008,215329,217405,218247,218445,219890,220143,222540,222653,222790,223556,223944,225761,227675,	215267,215560,217494,218380,218890,220028,220437,222598,222736,223012,223886,224439,226550,227748,	0
NM_143655.4	chr4	+	227921,228904,229910,	228240,229571,230428,	0
NR_133502.1	chr4	-	228575,228930,	228874,229112,	0
NM_143656.2	chr4	+	230729,231934,232278,234264,234863,236394,237268,240313,243265,243633,245179,	230895,231977,232848,234345,234944,236475,237559,240398,243585,243748,245903,	0
NM_205866.3	chr4	+	231425,231934,234264,236394,237268,240313,240644,	231627,231977,234345,236475,237559,240398,241318,	0
NM_001169352.2	chr4	+	231425,231934,234264,236394,237268,240313,240644,242460,243169,243633,245179,	231600,231977,234345,236475,237559,240398,240833,242679,243585,243748,245903,	0
NM_001258484.2	chr4	+	231425,231934,234264,234863,236394,237268,240313,240644,242460,243169,243633,244417,245179,	231600,231977,234345,234944,236475,237559,240398,240833,242679,243585,243748,244834,245903,	0
NM_001258485.2	chr4	+	231425,231934,234264,234863,236394,237268,239937,240313,240644,242460,243169,243633,244417,245179,	231600,231977,234345,234944,236475,237559,240072,240398,240833,242679,243585,243748,244834,245903,	0
NM_166747.3	chr4	+	231425,231934,232278,234264,236394,237268,240313,240644,242460,243169,243633,245179,	231600,231977,232848,234345,236475,237559,240398,240833,242679,243585,243748,245903,	0
NM_166746.3	chr4	+	231425,231934,234264,236394,237268,240313,240644,243265,243633,245179,	231627,231977,234345,236475,237559,240398,240833,243585,243748,245903,	0
NM_001272120.1	chr4	+	231425,231934,232278,234264,236394,237268,240313,240644,242487,243265,243633,245179,	231627,231977,232848,234345,236475,237559,240398,240833,242679,243585,243748,245903,	0
NM_001169351.2	chr4	+	231425,231934,232278,234264,236394,237268,240313,240644,242460,243169,243633,245179,	231627,231977,232848,234345,236475,237559,240398,240833,242679,243585,243748,245903,	0
NM_001169350.2	chr4	+	231849,232278,234264,236394,237268,240313,240644,242460,243169,243633,245179,	231977,232848,234345,236475,237559,240398,240833,242679,243585,243748,245903,	0
NM_001103381.3	chr4	-	247123,249556,249789,250033,250189,251314,252054,252658,252823,	247228,249735,249977,250136,250243,251525,252170,252711,253329,	0
NM_001103380.3	chr4	-	247123,249556,249789,250033,250189,251314,252054,252823,253200,	247228,249735,249977,250136,250243,251525,252170,253013,253329,	0
NM_001272122.2	chr4	-	268174,270559,271068,271914,272225,273114,273760,275579,276290,	270499,270755,271847,272160,272408,273712,273916,275719,276369,	0
NM_205870.3	chr4	-	268313,270559,271068,271914,272225,273114,273760,275579,276290,	270499,270755,271847,272172,272408,273712,273916,275719,276369,	0
NR_073615.1	chr4	+	276522,	278174,	0
NM_205871.3	chr4	-	278684,280324,281723,281947,282435,302241,302385,305360,	280239,280537,281892,282028,282738,302323,302526,305818,	0
NM_166751.6	chr4	-	278684,280324,281723,281947,282435,302241,302385,305015,305695,	280239,280537,281892,282028,282738,302323,302526,305178,305818,	0
NM_166748.5	chr4	-	278684,280324,281723,281947,282435,302241,302385,305015,305731,	280239,280537,281892,282028,282738,302323,302526,305178,305818,	0
NM_001258488.2	chr4	-	278684,281723,281947,282435,302241,302385,305015,306059,	280239,281892,282028,282738,302323,302526,305178,306161,	0
NM_166749.2	chr4	-	278684,280324,280496,281723,281947,282435,302241,302385,305015,306439,	280239,280431,280537,281892,282028,282738,302323,302526,305178,306481,	0
NM_143661.3	chr4	+	308092,308430,309538,309693,310078,	308289,309079,309633,310017,310302,	0
NM_166752.2	chr4	+	308092,308412,309538,309693,310078,	308289,309079,309633,310017,310302,	0
NM_001272123.1	chr4	+	308092,308430,309538,309693,310078,	308289,309079,309633,310017,310822,	0
NM_205872.2	chr4	-	310929,313356,313698,	313298,313642,313913,	0
NM_143662.2	chr4	-	310929,313356,313747,	313298,313642,313913,	0
NM_001297784.1	chr4	-	310929,313356,313747,	313298,313642,314087,	0
NM_001144383.2	chr4	-	310929,313356,314019,	313298,313642,314087,	0
NM_166753.3	chr4	+	314922,316392,319448,	315179,316509,321385,	0
NM_001272124.1	chr4	+	314922,316392,319451,328162,	314957,316509,320039,331387,	0
NM_001201587.2	chr4	-	328192,337535,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	329428,337547,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001038714.4	chr4	-	328815,330270,331397,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	329428,330339,332002,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_166754.6	chr4	-	328815,330270,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	329428,330339,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001014688.4	chr4	-	328815,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	329428,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001201588.2	chr4	-	328815,330270,337535,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358631,	329428,330339,337547,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_166755.6	chr4	-	328815,330270,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358631,	329428,330339,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001201586.2	chr4	-	328815,330270,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,354350,354679,355030,355309,358631,	329428,330339,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,354561,354966,355225,355481,358657,	0
NM_001201585.2	chr4	-	328815,330270,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358843,	329428,330339,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358917,	0
NM_001201589.2	chr4	-	329516,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	332002,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001014689.5	chr4	-	330855,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	332002,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_001014687.4	chr4	-	334669,342921,348994,349212,349480,349729,350602,350764,351585,351883,352180,353942,354350,354679,355030,355309,358549,	335073,343060,349146,349424,349679,350043,350690,351209,351827,352126,352590,353978,354561,354966,355225,355481,358657,	0
NM_166757.3	chr4	+	359937,360586,362303,362670,362945,363493,364023,365673,369506,369809,371090,371812,372249,	360284,361006,362613,362882,363134,363639,364941,366762,369744,369964,371357,372176,372784,	0
NM_079882.4	chr4	+	359937,360586,362303,362670,362945,363493,363867,365673,369506,369809,371090,371812,372249,	360284,361006,362613,362882,363134,363639,364941,366762,369744,369964,371357,372176,372784,	0
NM_001258491.3	chr4	+	359937,360586,362303,362670,362945,363493,363867,365673,365859,369506,369809,371090,371812,372249,	360358,361006,362613,362882,363134,363645,364941,365805,366762,369744,369964,371357,372176,372784,	0
NM_166756.3	chr4	+	359937,360586,362303,362670,362945,363493,363867,365673,369506,369809,371090,371812,372249,	359980,361006,362613,362882,363134,363639,364941,366762,369744,369964,371357,372176,374973,	0
NM_205873.3	chr4	+	359937,360586,362303,362670,362945,363493,363867,365673,369506,369809,371090,371812,372249,	359980,361006,362613,362882,363134,363639,364941,366762,369744,369964,371357,372176,375554,	0
NM_001258493.2	chr4	-	375639,377093,377757,377884,378395,378715,382122,386906,387828,	376631,377669,377825,378202,378561,378900,382408,386984,388322,	0
NR_123745.1	chr4	+	380723,381044,	380811,381275,	0
NR_073616.2	chr4	+	395395,	395954,	0
NR_144673.1	chr4	-	400702,	400765,	0
NR_047708.1	chr4	+	426066,	426601,	0
NR_073617.1	chr4	+	427330,429496,	427711,431769,	0
NM_143665.4	chr4	-	436956,438974,439447,442179,442863,443212,	438918,439165,441451,442389,443154,443911,	0
NM_166764.2	chr4	+	445503,447100,450241,450370,451189,452617,452802,452971,	445648,447235,450316,450509,451454,452744,452890,453947,	0
NM_079883.3	chr4	+	445503,447100,449923,450241,450370,451189,452617,452802,452971,	447035,447235,449968,450316,450509,451454,452744,452890,453947,	0
NM_166760.2	chr4	+	446092,446630,446820,447100,449923,450241,450370,451189,452617,452802,452971,	446486,446751,447035,447235,449968,450316,450509,451454,452744,452890,453947,	0
NM_166761.2	chr4	+	446092,446630,447100,450241,450370,451189,452617,452802,452971,	446486,447035,447235,450316,450509,451454,452744,452890,453947,	0
NM_166759.2	chr4	+	446577,446820,447100,449923,450241,450370,451189,452617,452802,452971,	446751,447035,447235,449968,450316,450509,451454,452744,452890,453947,	0
NR_123746.1	chr4	+	459767,460055,	459907,461413,	0
NM_143666.3	chr4	-	459886,460202,460713,461504,462387,463054,464796,466500,	460141,460656,461047,462328,462501,464740,465315,466828,	0
NM_001347760.1	chr4	+	467496,467750,469156,471013,	467693,467994,469330,471476,	0
NM_001272127.1	chr4	-	469408,472577,473146,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,485209,	472520,472677,473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,486033,	0
NM_143667.3	chr4	-	471285,472577,473146,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,481810,	472520,472677,473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,481970,	0
NM_001272126.2	chr4	-	471285,472577,473146,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,482483,	472520,472677,473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,482720,	0
NM_166766.3	chr4	-	471285,472577,473146,474452,476962,477291,478537,478799,480034,480301,480775,481208,483500,	472520,472677,473719,475104,477102,478083,478738,478868,480238,480691,481141,481704,483803,	0
NM_166765.3	chr4	-	472894,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,481810,	473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,481970,	0
NM_001272125.1	chr4	-	472894,474452,477291,478537,480034,480301,480775,481208,481810,	473719,474768,478083,478738,480238,480691,481141,481704,481970,	0
NM_001272129.1	chr4	-	472894,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,483500,	473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,483803,	0
NM_001272128.1	chr4	-	472894,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,485209,	473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,486033,	0
NM_001297785.1	chr4	-	472894,474452,474959,476962,477291,478537,478799,480034,480301,480775,481208,488847,	473719,474768,475104,477102,478083,478738,478868,480238,480691,481141,481704,488994,	0
NM_001297786.2	chr4	-	538331,549258,549713,550753,551990,557442,	548143,549621,549873,551380,553741,557854,	0
NM_001272131.2	chr4	-	540559,549258,549713,550753,551990,557442,	548143,549621,549873,551380,553741,557854,	0
NM_143668.3	chr4	-	545267,549258,549713,550753,551990,557442,	548143,549621,549873,551380,553741,557854,	0
NR_073619.1	chr4	-	557024,557442,	557357,557854,	0
NM_166767.2	chr4	+	558015,560097,560348,560470,560717,564360,564540,565409,565600,	558168,560300,560411,560583,560820,564479,564662,565515,565931,	0
NM_079885.2	chr4	+	558015,560094,560348,560470,560717,564360,564540,565406,565600,	558168,560300,560411,560583,560820,564479,564662,565515,565931,	0
NM_001272133.1	chr4	+	558222,560094,560348,560470,560717,564360,564540,565406,565600,	558269,560300,560411,560583,560820,564479,564662,565515,565931,	0
NM_166768.2	chr4	+	558222,560097,560348,560470,560717,564360,564540,565409,565600,	558300,560300,560411,560583,560820,564479,564662,565515,565931,	0
NM_001272134.1	chr4	+	558222,560094,560371,560470,560717,564360,564540,565409,565600,	558300,560300,560411,560583,560820,564479,564662,565515,567257,	0
NM_166769.2	chr4	+	558222,560094,560371,560470,560717,564360,564540,565406,565600,	558300,560300,560411,560583,560820,564479,564662,565515,567257,	0
